competition,year,player,team,pos,minutes,tackles_won,fouls_committed,fouls_drawn,cards,fpt,cpf
FIFA World Cup,2022,Diogo Dalot,Portugal,DF,258,6,1,1,0,0.17,0.0
FIFA World Cup,2022,João Cancelo,Portugal,DF,310,3,2,4,0,0.67,0.0
FIFA World Cup,2022,Otávio,Portugal,MF,196,7,6,10,0,0.86,0.0
FIFA World Cup,2022,Rúben Dias,Portugal,DF,360,4,4,2,1,1.0,0.25
FIFA World Cup,2022,William Carvalho,Portugal,MF,215,5,3,2,0,0.6,0.0
FIFA World Cup,2022,Abdelkarim Hassan,Qatar,DF,270,3,1,4,0,0.33,0.0
FIFA World Cup,2022,Ró-Ró,Qatar,DF,262,4,4,5,0,1.0,0.0
FIFA World Cup,2022,Firas Al-Buraikan,Saudi Arabia,FW,268,3,2,3,0,0.67,0.0
FIFA World Cup,2022,Salem Al-Dawsari,Saudi Arabia,FW,270,4,3,3,1,0.75,0.33
FIFA World Cup,2022,Kalidou Koulibaly,Senegal,DF,360,9,3,3,1,0.33,0.33
FIFA World Cup,2022,Nampalys Mendy,Senegal,MF,272,4,5,2,1,1.25,0.2
FIFA World Cup,2022,Youssouf Sabaly,Senegal,DF,360,6,3,12,0,0.5,0.0
FIFA World Cup,2022,Andrija Živković,Serbia,MF,210,3,2,4,0,0.67,0.0
FIFA World Cup,2022,Nikola Milenković,Serbia,DF,270,5,8,2,2,1.6,0.25
FIFA World Cup,2022,Hwang In-beom,South Korea,MF,334,3,7,3,0,2.33,0.0
FIFA World Cup,2022,Jung Woo-young,South Korea,MF,303,4,11,0,2,2.75,0.18
FIFA World Cup,2022,Kim Jin-su,South Korea,DF,315,5,1,6,0,0.2,0.0
FIFA World Cup,2022,Kim Moon-hwan,South Korea,DF,360,4,1,0,0,0.25,0.0
FIFA World Cup,2022,Dani Olmo,Spain,FW,367,3,5,6,0,1.67,0.0
FIFA World Cup,2022,Gavi,Spain,MF,284,4,8,14,0,2.0,0.0
FIFA World Cup,2022,Jordi Alba,Spain,DF,264,4,4,3,0,1.0,0.0
FIFA World Cup,2022,Sergio Busquets,Spain,MF,363,4,3,3,1,0.75,0.33
FIFA World Cup,2022,Granit Xhaka,Switzerland,MF,360,4,5,4,1,1.25,0.2
FIFA World Cup,2022,Remo Freuler,Switzerland,MF,323,5,6,2,0,1.2,0.0
FIFA World Cup,2022,Silvan Widmer,Switzerland,DF,265,6,4,2,1,0.67,0.25
FIFA World Cup,2022,Ali Abdi,Tunisia,MF,188,5,5,0,1,1.0,0.2
FIFA World Cup,2022,Aïssa Laïdouni,Tunisia,MF,243,3,3,6,1,1.0,0.33
FIFA World Cup,2022,Ellyes Skhiri,Tunisia,MF,270,3,3,2,0,1.0,0.0
FIFA World Cup,2022,Issam Jebali,Tunisia,FW,182,3,10,2,0,3.33,0.0
FIFA World Cup,2022,Antonee Robinson,United States,DF,359,4,2,0,0,0.5,0.0
FIFA World Cup,2022,Tim Ream,United States,DF,360,3,1,2,1,0.33,1.0
FIFA World Cup,2022,Tyler Adams,United States,MF,360,9,5,5,1,0.56,0.2
FIFA World Cup,2022,Yunus Musah,United States,MF,343,6,9,3,0,1.5,0.0
FIFA World Cup,2022,Federico Valverde,Uruguay,MF,270,4,6,2,0,1.5,0.0
FIFA World Cup,2022,Mathías Olivera,Uruguay,DF,253,5,2,3,1,0.4,0.5
FIFA World Cup,2022,Matías Vecino,Uruguay,MF,195,3,4,0,0,1.33,0.0
FIFA World Cup,2022,Rodrigo Bentancur,Uruguay,MF,213,8,5,3,1,0.62,0.2
FIFA World Cup,2022,Chris Mepham,Wales,DF,270,6,7,1,1,1.17,0.14
FIFA World Cup,2022,Connor Roberts,Wales,MF,200,3,0,1,0,0.0,
FIFA World Cup,2022,Ethan Ampadu,Wales,MF,255,3,5,3,0,1.67,0.0
FIFA World Cup,2022,Neco Williams,Wales,DF,204,3,3,5,0,1.0,0.0
FIFA World Cup,2026,Aïssa Mandi,Algeria,DF,360,3,0,5,0,0.0,
FIFA World Cup,2026,Fares Chaïbi,Algeria,MF,360,5,3,2,1,0.6,0.33
FIFA World Cup,2026,Nabil Bentaleb,Algeria,MF,285,4,2,3,0,0.5,0.0
FIFA World Cup,2026,Rafik Belghali,Algeria,DF,331,3,4,2,0,1.33,0.0
FIFA World Cup,2026,Ramy Bensebaini,Algeria,DF,360,6,1,5,0,0.17,0.0
FIFA World Cup,2026,Rayan Aït-Nouri,Algeria,DF,284,13,6,4,0,0.46,0.0
FIFA World Cup,2026,Alexis Mac Allister,Argentina,MF,630,10,6,10,0,0.6,0.0
FIFA World Cup,2026,Cristian Romero,Argentina,DF,539,10,9,3,1,0.9,0.11
FIFA World Cup,2026,Enzo Fernández,Argentina,MF,570,6,9,5,0,1.5,0.0
FIFA World Cup,2026,Facundo Medina,Argentina,DF,257,6,3,2,1,0.5,0.33
FIFA World Cup,2026,Julián Álvarez,Argentina,FW,501,3,8,3,0,2.67,0.0
FIFA World Cup,2026,Leandro Paredes,Argentina,MF,398,5,5,2,1,1.0,0.2
FIFA World Cup,2026,Lionel Messi,Argentina,FW,620,9,2,16,0,0.22,0.0
FIFA World Cup,2026,Lisandro Martínez,Argentina,DF,581,6,6,4,1,1.0,0.17
FIFA World Cup,2026,Nicolás González,Argentina,FW,214,3,4,2,0,1.33,0.0
FIFA World Cup,2026,Rodrigo De Paul,Argentina,MF,422,4,2,4,1,0.5,0.5
FIFA World Cup,2026,Thiago Almada,Argentina,MF,241,4,2,2,1,0.5,0.5
FIFA World Cup,2026,Alessandro Circati,Australia,DF,390,7,5,4,1,0.71,0.2
FIFA World Cup,2026,Aziz Behich,Australia,MF,217,4,1,4,0,0.25,0.0
FIFA World Cup,2026,Connor Metcalfe,Australia,MF,315,5,1,0,0,0.2,0.0
FIFA World Cup,2026,Jordy Bos,Australia,MF,308,3,4,4,1,1.33,0.25
FIFA World Cup,2026,Konrad Laimer,Austria,MF,360,6,6,3,1,1.0,0.17
FIFA World Cup,2026,Nicolas Seiwald,Austria,MF,315,5,1,1,0,0.2,0.0
FIFA World Cup,2026,Romano Schmid,Austria,MF,263,4,3,4,0,0.75,0.0
FIFA World Cup,2026,Stefan Posch,Austria,DF,331,4,7,3,2,1.75,0.29
FIFA World Cup,2026,Xaver Schlager,Austria,MF,238,3,6,0,0,2.0,0.0
FIFA World Cup,2026,Brandon Mechele,Belgium,DF,570,4,9,2,1,2.25,0.11
FIFA World Cup,2026,Charles De Ketelaere,Belgium,FW,350,4,2,3,0,0.5,0.0
FIFA World Cup,2026,Nathan Ngoy,Belgium,DF,335,4,6,1,1,1.5,0.17
FIFA World Cup,2026,Nicolas Raskin,Belgium,MF,341,5,12,3,0,2.4,0.0
FIFA World Cup,2026,Timothy Castagne,Belgium,DF,478,7,7,2,1,1.0,0.14
FIFA World Cup,2026,Youri Tielemans,Belgium,MF,474,6,7,10,0,1.17,0.0
FIFA World Cup,2026,Amar Dedić,Bosnia and Herzegovina,DF,270,7,6,3,1,0.86,0.17
FIFA World Cup,2026,Benjamin Tahirovic,Bosnia and Herzegovina,MF,237,4,3,2,0,0.75,0.0
FIFA World Cup,2026,Ivan Šunjić,Bosnia and Herzegovina,MF,196,3,7,0,0,2.33,0.0
FIFA World Cup,2026,Nikola Katić,Bosnia and Herzegovina,DF,317,6,4,0,1,0.67,0.25
FIFA World Cup,2026,Sead Kolašinac,Bosnia and Herzegovina,DF,337,6,6,4,0,1.0,0.0
FIFA World Cup,2026,Bruno Guimarães,Brazil,MF,416,6,4,7,0,0.67,0.0
FIFA World Cup,2026,Casemiro,Brazil,MF,379,5,6,6,2,1.2,0.33
FIFA World Cup,2026,Douglas Santos,Brazil,DF,441,10,3,2,1,0.3,0.33
FIFA World Cup,2026,Lucas Paquetá,Brazil,MF,233,4,3,6,0,0.75,0.0
FIFA World Cup,2026,Matheus Cunha,Brazil,FW,290,3,1,3,0,0.33,0.0
FIFA World Cup,2026,Rayan,Brazil,FW,288,4,5,4,0,1.25,0.0
FIFA World Cup,2026,Derek Cornelius,Canada,DF,315,3,4,3,1,1.33,0.25
FIFA World Cup,2026,Luc De Fougerolles,Canada,DF,372,6,8,8,2,1.33,0.25
FIFA World Cup,2026,Nathan Saliba,Canada,MF,182,4,5,2,1,1.25,0.2
FIFA World Cup,2026,Richie Laryea,Canada,DF,429,9,8,14,1,0.89,0.12
FIFA World Cup,2026,Stephen Eustáquio,Canada,MF,392,5,2,7,0,0.4,0.0
FIFA World Cup,2026,Tajon Buchanan,Canada,MF,376,5,5,8,0,1.0,0.0
FIFA World Cup,2026,Tani Oluwaseyi,Canada,FW,259,3,5,5,0,1.67,0.0
FIFA World Cup,2026,Deroy Duarte,Cape Verde,MF,264,5,4,1,0,0.8,0.0
FIFA World Cup,2026,Diney,Cape Verde,DF,390,7,2,0,1,0.29,0.5
FIFA World Cup,2026,Jamiro Monteiro,Cape Verde,MF,281,4,4,2,0,1.0,0.0
FIFA World Cup,2026,Kevin Pina,Cape Verde,MF,349,7,5,3,1,0.71,0.2
FIFA World Cup,2026,Pico,Cape Verde,DF,390,5,0,3,0,0.0,
FIFA World Cup,2026,Steven Moreira,Cape Verde,DF,301,3,0,2,0,0.0,
FIFA World Cup,2026,Daniel Muñoz,Colombia,DF,394,3,9,1,0,3.0,0.0
FIFA World Cup,2026,Gustavo Puerta,Colombia,MF,469,3,9,8,1,3.0,0.11
FIFA World Cup,2026,Jhon Arias,Colombia,MF,377,9,5,2,1,0.56,0.2
FIFA World Cup,2026,Johan Mojica,Colombia,DF,390,3,1,7,1,0.33,1.0
FIFA World Cup,2026,Luis Suárez,Colombia,FW,331,4,7,8,1,1.75,0.14
FIFA World Cup,2026,Ivan Perišić,Croatia,MF,360,4,4,1,2,1.0,0.5
FIFA World Cup,2026,Josip Šutalo,Croatia,DF,360,4,2,1,0,0.5,0.0
FIFA World Cup,2026,Luka Modrić,Croatia,MF,317,3,4,3,1,1.33,0.25
FIFA World Cup,2026,Marin Pongračić,Croatia,DF,270,3,3,0,0,1.0,0.0
FIFA World Cup,2026,Mateo Kovačić,Croatia,MF,270,3,3,3,0,1.0,0.0
FIFA World Cup,2026,Deveron Fonville,Curaçao,DF,241,3,2,3,0,0.67,0.0
FIFA World Cup,2026,Juninho Bacuna,Curaçao,MF,254,4,6,3,2,1.5,0.33
FIFA World Cup,2026,Leandro Bacuna,Curaçao,MF,270,3,3,3,1,1.0,0.33
FIFA World Cup,2026,Sherel Floranus,Curaçao,DF,270,6,2,0,0,0.33,0.0
FIFA World Cup,2026,Ladislav Krejčí,Czech Republic,DF,270,3,6,2,1,2.0,0.17
FIFA World Cup,2026,Aaron Wan-Bissaka,DR Congo,DF,354,4,1,1,0,0.25,0.0
FIFA World Cup,2026,Arthur Masuaku,DR Congo,DF,315,5,0,4,0,0.0,
FIFA World Cup,2026,Chancel Mbemba,DR Congo,DF,360,3,1,3,1,0.33,1.0
FIFA World Cup,2026,Noah Sadiki,DR Congo,MF,259,4,2,3,2,0.5,1.0
FIFA World Cup,2026,Samuel Moutoussamy,DR Congo,MF,330,8,8,1,1,1.0,0.12
FIFA World Cup,2026,Alan Franco,Ecuador,DF,251,6,7,0,2,1.17,0.29
FIFA World Cup,2026,Gonzalo Plata,Ecuador,FW,360,5,5,4,1,1.0,0.2
FIFA World Cup,2026,Joel Ordóñez,Ecuador,DF,225,5,1,1,0,0.2,0.0
FIFA World Cup,2026,John Yeboah,Ecuador,MF,311,3,0,4,0,0.0,
FIFA World Cup,2026,Moisés Caicedo,Ecuador,MF,360,6,5,4,1,0.83,0.2
FIFA World Cup,2026,Pedro Vite,Ecuador,MF,360,11,2,5,0,0.18,0.0
FIFA World Cup,2026,Piero Hincapié,Ecuador,DF,339,5,5,4,2,1.0,0.4
FIFA World Cup,2026,Ahmed Fatouh,Egypt,DF,267,5,2,3,1,0.4,0.5
FIFA World Cup,2026,Hamdy Fathy,Egypt,DF,238,3,3,2,1,1.0,0.33
FIFA World Cup,2026,Marwan Attia,Egypt,MF,434,3,8,1,2,2.67,0.25
FIFA World Cup,2026,Mohamed Hany,Egypt,DF,480,9,2,1,0,0.22,0.0
FIFA World Cup,2026,Mohanad Lasheen,Egypt,MF,359,11,5,3,2,0.45,0.4
FIFA World Cup,2026,Mostafa Ziko,Egypt,FW,370,4,6,5,0,1.5,0.0
FIFA World Cup,2026,Omar Marmoush,Egypt,FW,326,3,3,8,0,1.0,0.0
FIFA World Cup,2026,Ramy Rabia,Egypt,DF,372,5,3,2,0,0.6,0.0
FIFA World Cup,2026,Yasser Ibrahim,Egypt,DF,467,6,6,3,2,1.0,0.33
FIFA World Cup,2026,Anthony Gordon,England,MF,396,3,4,10,0,1.33,0.0
FIFA World Cup,2026,Bukayo Saka,England,MF,268,6,4,7,0,0.67,0.0
FIFA World Cup,2026,Djed Spence,England,DF,314,8,1,3,0,0.12,0.0
FIFA World Cup,2026,Elliot Anderson,England,MF,620,17,9,13,1,0.53,0.11
FIFA World Cup,2026,Ezri Konsa,England,DF,557,3,7,11,0,2.33,0.0
FIFA World Cup,2026,Harry Kane,England,FW,652,3,8,9,0,2.67,0.0
FIFA World Cup,2026,Jude Bellingham,England,MF,602,10,9,16,1,0.9,0.11
FIFA World Cup,2026,Morgan Rogers,England,MF,249,3,5,3,0,1.67,0.0
FIFA World Cup,2026,Nico O'Reilly,England,DF,461,3,6,4,1,2.0,0.17
FIFA World Cup,2026,Noni Madueke,England,MF,286,4,2,3,0,0.5,0.0
FIFA World Cup,2026,Adrien Rabiot,France,MF,495,5,11,3,1,2.2,0.09
FIFA World Cup,2026,Aurélien Tchouaméni,France,MF,360,14,4,3,1,0.29,0.25
FIFA World Cup,2026,Bradley Barcola,France,MF,339,3,3,1,1,1.0,0.33
FIFA World Cup,2026,Dayot Upamecano,France,DF,615,11,6,4,0,0.55,0.0
FIFA World Cup,2026,Désiré Doué,France,MF,355,6,3,6,0,0.5,0.0
FIFA World Cup,2026,Jules Koundé,France,DF,598,8,6,5,0,0.75,0.0
FIFA World Cup,2026,Lucas Digne,France,DF,418,3,5,2,0,1.67,0.0
FIFA World Cup,2026,Manu Koné,France,MF,385,5,6,7,1,1.2,0.17
FIFA World Cup,2026,Michael Olise,France,MF,556,6,4,16,1,0.67,0.25
FIFA World Cup,2026,Aleksandar Pavlovic,Germany,MF,272,3,13,4,1,4.33,0.08
FIFA World Cup,2026,Felix Nmecha,Germany,MF,270,9,3,3,0,0.33,0.0
FIFA World Cup,2026,Florian Wirtz,Germany,MF,361,6,1,3,0,0.17,0.0
FIFA World Cup,2026,Jamal Musiala,Germany,MF,270,5,5,11,1,1.0,0.2
FIFA World Cup,2026,Jonathan Tah,Germany,DF,372,3,5,1,0,1.67,0.0
FIFA World Cup,2026,Joshua Kimmich,Germany,DF,351,4,0,7,0,0.0,
FIFA World Cup,2026,Leroy Sané,Germany,MF,326,3,3,2,0,1.0,0.0
FIFA World Cup,2026,Nathaniel Brown,Germany,DF,282,6,4,1,0,0.67,0.0
FIFA World Cup,2026,Gideon Mensah,Ghana,DF,360,5,2,3,0,0.4,0.0
FIFA World Cup,2026,Jonas Adjetey,Ghana,DF,225,3,1,0,0,0.33,0.0
FIFA World Cup,2026,Jordan Ayew,Ghana,FW,300,3,7,7,0,2.33,0.0
FIFA World Cup,2026,Marvin Senaya,Ghana,DF,278,12,6,4,0,0.5,0.0
FIFA World Cup,2026,Thomas Partey,Ghana,MF,270,4,2,5,0,0.5,0.0
FIFA World Cup,2026,Danley Jean-Jacques,Haiti,MF,259,6,5,3,1,0.83,0.2
FIFA World Cup,2026,Hannes Delcroix,Haiti,DF,270,3,1,2,0,0.33,0.0
FIFA World Cup,2026,Martin Expérience,Haiti,DF,270,6,7,6,0,1.17,0.0
FIFA World Cup,2026,Milad Mohammadi,Iran,DF,205,4,1,1,0,0.25,0.0
FIFA World Cup,2026,Ramin Rezaeian,Iran,DF,270,5,2,3,0,0.4,0.0
FIFA World Cup,2026,Saeid Ezatolahi,Iran,MF,264,5,7,4,2,1.4,0.29
FIFA World Cup,2026,Saman Ghoddos,Iran,MF,208,4,3,0,0,0.75,0.0
FIFA World Cup,2026,Shoja' Khalilzadeh,Iran,DF,270,3,4,0,1,1.33,0.25
FIFA World Cup,2026,Ibrahim Bayesh,Iraq,MF,235,4,3,5,0,0.75,0.0
FIFA World Cup,2026,Merchas Doski,Iraq,DF,270,9,3,8,1,0.33,0.33
FIFA World Cup,2026,Amad Diallo,Ivory Coast,MF,185,4,0,2,0,0.0,
FIFA World Cup,2026,Christ Inao Oulaï,Ivory Coast,MF,208,4,3,5,0,0.75,0.0
FIFA World Cup,2026,Emmanuel Agbadou,Ivory Coast,DF,270,6,0,0,0,0.0,
FIFA World Cup,2026,Franck Kessié,Ivory Coast,MF,346,4,7,2,1,1.75,0.14
FIFA World Cup,2026,Ghislain Konan,Ivory Coast,DF,269,3,0,1,0,0.0,
FIFA World Cup,2026,Guéla Doué,Ivory Coast,DF,277,5,6,5,1,1.2,0.17
FIFA World Cup,2026,Ibrahim Sangaré,Ivory Coast,MF,268,5,2,4,0,0.4,0.0
FIFA World Cup,2026,Odilon Kossounou,Ivory Coast,DF,272,3,0,1,0,0.0,
FIFA World Cup,2026,Yan Diomandé,Ivory Coast,MF,329,6,2,7,0,0.33,0.0
FIFA World Cup,2026,Ao Tanaka,Japan,MF,193,6,6,2,0,1.0,0.0
FIFA World Cup,2026,Daichi Kamada,Japan,MF,329,3,2,4,1,0.67,0.5
FIFA World Cup,2026,Daizen Maeda,Japan,MF,244,3,2,1,0,0.67,0.0
FIFA World Cup,2026,Keito Nakamura,Japan,MF,307,3,3,1,0,1.0,0.0
FIFA World Cup,2026,Abdallah Nasib,Jordan,DF,260,3,1,1,0,0.33,0.0
FIFA World Cup,2026,Nizar Al Rashdan,Jordan,MF,255,5,5,4,0,1.0,0.0
FIFA World Cup,2026,Noor Al Rawabdeh,Jordan,MF,270,7,1,0,0,0.14,0.0
FIFA World Cup,2026,Edson Álvarez,Mexico,MF,240,6,5,2,1,0.83,0.2
FIFA World Cup,2026,Erik Lira,Mexico,MF,345,3,3,4,0,1.0,0.0
FIFA World Cup,2026,Jorge Sánchez,Mexico,DF,348,4,5,1,1,1.25,0.2
FIFA World Cup,2026,Luis Romo,Mexico,MF,264,4,1,3,0,0.25,0.0
FIFA World Cup,2026,Roberto Alvarado,Mexico,FW,428,3,3,5,0,1.0,0.0
FIFA World Cup,2026,Achraf Hakimi,Morocco,DF,570,10,7,16,1,0.7,0.14
FIFA World Cup,2026,Anass Salah-Eddine,Morocco,DF,212,5,3,2,0,0.6,0.0
FIFA World Cup,2026,Ayyoub Bouaddi,Morocco,MF,381,3,3,6,0,1.0,0.0
FIFA World Cup,2026,Bilal El Khannouss,Morocco,MF,461,7,5,6,1,0.71,0.2
FIFA World Cup,2026,Neil El Aynaoui,Morocco,MF,562,9,15,7,0,1.67,0.0
FIFA World Cup,2026,Noussair Mazraoui,Morocco,DF,477,8,4,6,0,0.5,0.0
FIFA World Cup,2026,Denzel Dumfries,Netherlands,DF,390,6,6,3,0,1.0,0.0
FIFA World Cup,2026,Frenkie de Jong,Netherlands,MF,328,7,6,6,0,0.86,0.0
FIFA World Cup,2026,Jan Paul van Hecke,Netherlands,DF,390,3,4,2,0,1.33,0.0
FIFA World Cup,2026,Micky van de Ven,Netherlands,DF,265,3,5,1,1,1.67,0.2
FIFA World Cup,2026,Elijah Just,New Zealand,MF,264,3,3,2,1,1.0,0.33
FIFA World Cup,2026,Tim Payne,New Zealand,DF,224,3,2,2,0,0.67,0.0
FIFA World Cup,2026,Andreas Schjelderup,Norway,FW,252,3,2,3,0,0.67,0.0
FIFA World Cup,2026,David Møller Wolfe,Norway,DF,430,3,7,2,0,2.33,0.0
FIFA World Cup,2026,Fredrik Aursnes,Norway,MF,304,8,5,3,0,0.62,0.0
FIFA World Cup,2026,Julian Ryerson,Norway,DF,223,8,6,1,0,0.75,0.0
FIFA World Cup,2026,Kristoffer Ajer,Norway,DF,480,8,2,1,1,0.25,0.5
FIFA World Cup,2026,Martin Ødegaard,Norway,MF,470,4,3,4,0,0.75,0.0
FIFA World Cup,2026,Oscar Bobb,Norway,FW,225,3,1,4,0,0.33,0.0
FIFA World Cup,2026,Patrick Berg,Norway,MF,445,7,4,2,1,0.57,0.25
FIFA World Cup,2026,Sander Berge,Norway,MF,480,4,6,2,0,1.5,0.0
FIFA World Cup,2026,Torbjørn Heggem,Norway,DF,443,7,2,0,0,0.29,0.0
FIFA World Cup,2026,Andrés Andrade Cedeño,Panama,DF,270,3,4,0,1,1.33,0.25
FIFA World Cup,2026,Carlos Harvey,Panama,MF,267,3,8,3,1,2.67,0.12
FIFA World Cup,2026,Cristian Martínez,Panama,MF,242,4,5,5,0,1.25,0.0
FIFA World Cup,2026,José Córdoba,Panama,DF,270,3,5,1,0,1.67,0.0
FIFA World Cup,2026,José Luis Rodríguez,Panama,MF,233,3,4,2,0,1.33,0.0
FIFA World Cup,2026,Michael Amir Murillo,Panama,DF,270,3,1,7,0,0.33,0.0
FIFA World Cup,2026,Andrés Cubas,Paraguay,MF,480,13,14,3,1,1.08,0.07
FIFA World Cup,2026,Damián Bobadilla,Paraguay,MF,189,3,1,1,0,0.33,0.0
FIFA World Cup,2026,Diego Gómez,Paraguay,MF,304,6,5,1,2,0.83,0.4
FIFA World Cup,2026,Gustavo Gómez,Paraguay,DF,480,3,3,2,0,1.0,0.0
FIFA World Cup,2026,Juan Cáceres,Paraguay,DF,436,11,9,6,1,0.82,0.11
FIFA World Cup,2026,Julio Enciso,Paraguay,FW,386,5,3,9,0,0.6,0.0
FIFA World Cup,2026,Júnior Alonso,Paraguay,DF,390,9,3,3,1,0.33,0.33
FIFA World Cup,2026,Matías Galarza,Paraguay,MF,388,11,10,9,2,0.91,0.2
FIFA World Cup,2026,Miguel Almirón,Paraguay,MF,282,7,2,7,2,0.29,1.0
FIFA World Cup,2026,Bruno Fernandes,Portugal,MF,422,5,2,8,0,0.4,0.0
FIFA World Cup,2026,João Cancelo,Portugal,DF,312,4,6,2,0,1.5,0.0
FIFA World Cup,2026,João Félix,Portugal,MF,201,4,3,6,0,0.75,0.0
FIFA World Cup,2026,João Neves,Portugal,MF,390,7,1,4,0,0.14,0.0
FIFA World Cup,2026,Nuno Mendes,Portugal,DF,395,6,3,12,0,0.5,0.0
FIFA World Cup,2026,Rúben Dias,Portugal,DF,360,3,6,3,1,2.0,0.17
FIFA World Cup,2026,Boualem Khoukhi,Qatar,DF,270,3,2,1,0,0.67,0.0
FIFA World Cup,2026,Ró-Ró,Qatar,DF,270,4,1,7,0,0.25,0.0
FIFA World Cup,2026,Hassan Al Tambakti,Saudi Arabia,DF,212,3,0,1,0,0.0,
FIFA World Cup,2026,Mohamed Kanno,Saudi Arabia,MF,225,4,5,0,1,1.25,0.2
FIFA World Cup,2026,Nasser Al-Dawsari,Saudi Arabia,MF,207,4,7,2,1,1.75,0.14
FIFA World Cup,2026,Saud Abdulhamid,Saudi Arabia,DF,269,9,4,2,1,0.44,0.25
FIFA World Cup,2026,Lewis Ferguson,Scotland,MF,270,7,5,10,0,0.71,0.0
FIFA World Cup,2026,Idrissa Gueye,Senegal,MF,361,4,2,2,0,0.5,0.0
FIFA World Cup,2026,Krépin Diatta,Senegal,DF,390,10,4,6,0,0.4,0.0
FIFA World Cup,2026,Aubrey Modiba,South Africa,DF,346,5,4,6,1,0.8,0.25
FIFA World Cup,2026,Khuliso Mudau,South Africa,DF,360,8,4,10,0,0.5,0.0
FIFA World Cup,2026,Mbekezeli Mbokazi,South Africa,DF,360,5,3,5,0,0.6,0.0
FIFA World Cup,2026,Oswin Appollis,South Africa,MF,255,3,1,2,0,0.33,0.0
FIFA World Cup,2026,Sphephelo Sithole,South Africa,MF,229,5,5,1,1,1.0,0.2
FIFA World Cup,2026,Teboho Mokoena,South Africa,MF,270,3,3,6,2,1.0,0.67
FIFA World Cup,2026,Lee Gi-hyuk,South Korea,DF,270,4,2,1,1,0.5,0.5
FIFA World Cup,2026,Aymeric Laporte,Spain,DF,629,3,4,2,1,1.33,0.25
FIFA World Cup,2026,Dani Olmo,Spain,MF,417,5,5,8,0,1.0,0.0
FIFA World Cup,2026,Fabián Ruiz Peña,Spain,MF,260,3,1,3,0,0.33,0.0
FIFA World Cup,2026,Lamine Yamal,Spain,MF,494,6,12,8,0,2.0,0.0
FIFA World Cup,2026,Marc Cucurella,Spain,DF,630,4,7,3,1,1.75,0.14
FIFA World Cup,2026,Marcos Llorente,Spain,DF,187,6,2,1,0,0.33,0.0
FIFA World Cup,2026,Mikel Oyarzabal,Spain,FW,540,4,3,4,0,0.75,0.0
FIFA World Cup,2026,Pau Cubarsí,Spain,DF,630,3,4,2,1,1.33,0.25
FIFA World Cup,2026,Pedri,Spain,MF,440,7,3,5,1,0.43,0.33
FIFA World Cup,2026,Pedro Porro,Spain,DF,443,9,7,6,0,0.78,0.0
FIFA World Cup,2026,Rodri,Spain,MF,626,17,9,6,0,0.53,0.0
FIFA World Cup,2026,Álex Baena,Spain,MF,407,5,9,6,1,1.8,0.11
FIFA World Cup,2026,Gabriel Gudmundsson,Sweden,MF,330,3,5,7,1,1.67,0.2
FIFA World Cup,2026,Gustaf Lagerbielke,Sweden,DF,360,5,1,3,0,0.2,0.0
FIFA World Cup,2026,Isak Hien,Sweden,DF,216,3,3,3,1,1.0,0.33
FIFA World Cup,2026,Yasin Ayari,Sweden,MF,339,4,4,8,1,1.0,0.25
FIFA World Cup,2026,Dan Ndoye,Switzerland,MF,406,5,5,16,0,1.0,0.0
FIFA World Cup,2026,Denis Zakaria,Switzerland,DF,357,5,4,0,2,0.8,0.5
FIFA World Cup,2026,Fabian Rieder,Switzerland,MF,302,3,3,6,0,1.0,0.0
FIFA World Cup,2026,Granit Xhaka,Switzerland,MF,600,4,4,12,2,1.0,0.5
FIFA World Cup,2026,Manuel Akanji,Switzerland,DF,600,9,4,4,0,0.44,0.0
FIFA World Cup,2026,Remo Freuler,Switzerland,MF,592,5,8,3,0,1.6,0.0
FIFA World Cup,2026,Ricardo Rodríguez,Switzerland,DF,517,7,11,2,0,1.57,0.0
FIFA World Cup,2026,Ali Abdi,Tunisia,DF,269,8,4,1,0,0.5,0.0
FIFA World Cup,2026,Hannibal Mejbri,Tunisia,MF,270,4,4,15,0,1.0,0.0
FIFA World Cup,2026,Mohamed Amine Ben Hamida,Tunisia,DF,202,9,3,1,0,0.33,0.0
FIFA World Cup,2026,Abdülkerim Bardakcı,Turkey,DF,265,5,1,3,0,0.2,0.0
FIFA World Cup,2026,Arda Güler,Turkey,MF,270,3,3,10,0,1.0,0.0
FIFA World Cup,2026,Hakan Çalhanoğlu,Turkey,MF,180,3,2,1,0,0.67,0.0
FIFA World Cup,2026,Alex Freeman,United States,DF,374,6,1,1,0,0.17,0.0
FIFA World Cup,2026,Antonee Robinson,United States,DF,348,4,4,1,1,1.0,0.25
FIFA World Cup,2026,Chris Richards,United States,DF,360,3,8,3,1,2.67,0.12
FIFA World Cup,2026,Malik Tillman,United States,MF,356,7,3,13,1,0.43,0.33
FIFA World Cup,2026,Tyler Adams,United States,MF,341,5,5,6,1,1.0,0.2
FIFA World Cup,2026,Weston McKennie,United States,MF,443,7,8,2,1,1.14,0.12
FIFA World Cup,2026,Agustín Canobbio,Uruguay,FW,224,3,7,5,1,2.33,0.14
FIFA World Cup,2026,Juan Manuel Sanabria,Uruguay,DF,204,4,1,0,1,0.25,1.0
FIFA World Cup,2026,Mathías Olivera,Uruguay,DF,270,4,3,0,1,0.75,0.33
FIFA World Cup,2026,Rodrigo Bentancur,Uruguay,MF,270,5,7,5,1,1.4,0.14
